datetime,user,heartrate,steps
2020-08-13 09:07:00,AHYIJDV,123,39
2020-08-13 09:11:00,AHYIJDV,99,0
2020-08-13 09:12:00,AHYIJDV,99,0
2020-08-13 09:13:00,AHYIJDV,101,0
2020-08-13 09:14:00,AHYIJDV,101,12
2020-08-13 09:15:00,AHYIJDV,101,79
2020-08-13 09:16:00,AHYIJDV,102,46
2020-08-13 09:18:00,AHYIJDV,120,36
2020-08-13 09:22:00,AHYIJDV,87,0
2020-08-13 09:23:00,AHYIJDV,82,0
2020-08-13 09:24:00,AHYIJDV,81,0
2020-08-13 09:25:00,AHYIJDV,82,0
2020-08-13 09:28:00,AHYIJDV,85,28
2020-08-13 09:29:00,AHYIJDV,83,11
2020-08-13 09:30:00,AHYIJDV,81,0
2020-08-13 12:52:00,AHYIJDV,88,26
2020-08-13 13:33:00,AHYIJDV,76,0
2020-08-13 13:34:00,AHYIJDV,61,0
2020-08-13 13:35:00,AHYIJDV,65,14
2020-08-13 13:36:00,AHYIJDV,62,0
2020-08-13 13:37:00,AHYIJDV,63,0
2020-08-13 13:38:00,AHYIJDV,63,0
2020-08-13 13:40:00,AHYIJDV,62,0
2020-08-13 13:41:00,AHYIJDV,59,0
2020-08-13 13:42:00,AHYIJDV,60,0
2020-08-13 13:43:00,AHYIJDV,67,39
2020-08-13 13:45:00,AHYIJDV,70,25
2020-08-13 13:46:00,AHYIJDV,71,61
2020-08-13 13:47:00,AHYIJDV,76,75
2020-08-13 15:54:00,AHYIJDV,59,0
2020-08-13 15:55:00,AHYIJDV,66,0
2020-08-13 15:57:00,AHYIJDV,64,0
2020-08-13 15:58:00,AHYIJDV,61,0
2020-08-13 16:00:00,AHYIJDV,53,0
2020-08-13 16:01:00,AHYIJDV,55,0
2020-08-13 16:03:00,AHYIJDV,54,0
2020-08-13 16:05:00,AHYIJDV,55,0
2020-08-13 16:07:00,AHYIJDV,56,0
2020-08-13 16:08:00,AHYIJDV,58,0
2020-08-13 16:11:00,AHYIJDV,55,0
2020-08-13 23:08:00,AHYIJDV,67,16
2020-08-13 23:13:00,AHYIJDV,67,10
2020-08-13 23:14:00,AHYIJDV,76,31
2020-08-13 23:16:00,AHYIJDV,72,0
2020-08-13 23:17:00,AHYIJDV,63,0
2020-08-14 00:05:00,AHYIJDV,59,0
2020-08-14 01:19:00,AHYIJDV,64,0
2020-08-14 01:20:00,AHYIJDV,68,0
2020-08-14 01:21:00,AHYIJDV,67,0
2020-08-14 01:22:00,AHYIJDV,68,0
2020-08-14 01:24:00,AHYIJDV,69,0
2020-08-14 01:26:00,AHYIJDV,68,0
2020-08-14 01:28:00,AHYIJDV,67,0
2020-08-14 01:29:00,AHYIJDV,68,0
2020-08-14 02:07:00,AHYIJDV,62,0
2020-08-14 02:08:00,AHYIJDV,63,0
2020-08-14 02:09:00,AHYIJDV,65,0
2020-08-14 02:10:00,AHYIJDV,66,0
2020-08-14 02:11:00,AHYIJDV,71,0
2020-08-14 02:13:00,AHYIJDV,69,0
2020-08-14 02:14:00,AHYIJDV,72,0
2020-08-14 02:19:00,AHYIJDV,72,0
2020-08-14 02:20:00,AHYIJDV,67,0
2020-08-14 02:21:00,AHYIJDV,74,0
2020-08-14 02:22:00,AHYIJDV,61,0
2020-08-14 02:23:00,AHYIJDV,86,0
2020-08-14 03:22:00,AHYIJDV,65,0
2020-08-14 03:23:00,AHYIJDV,76,0
2020-08-14 03:24:00,AHYIJDV,67,0
2020-08-14 03:27:00,AHYIJDV,72,0
